,grade,absences,studytime,internet,activities
1,11,2,2,1,0
3,14,0,3,1,1
6,13,0,2,1,0
8,17,0,2,1,0
9,13,0,2,1,1
10,14,2,2,1,0
11,13,0,3,1,1
12,12,0,1,1,1
13,13,0,2,1,0
14,15,0,3,1,0
20,14,0,2,1,0
21,12,0,1,1,0
22,14,0,2,1,1
23,10,2,2,1,1
24,10,2,3,1,1
27,11,0,1,1,0
28,13,2,2,1,1
29,12,4,2,1,1
30,11,0,2,1,0
31,15,2,2,1,1
32,15,0,2,1,1
33,12,0,2,1,1
34,12,4,1,1,0
36,14,0,3,1,1
37,13,4,3,1,1
38,12,2,3,1,1
42,15,0,2,1,1
43,10,0,1,1,0
45,11,4,2,1,1
47,17,2,4,1,1
49,12,2,2,1,1
50,13,0,2,1,0
51,16,0,2,1,0
53,12,0,1,1,0
54,13,0,1,1,0
55,12,2,2,1,1
56,15,0,2,1,1
58,14,0,2,1,1
59,16,2,2,1,0
61,16,0,1,1,1
62,10,0,2,1,1
63,13,0,3,1,1
64,12,0,2,1,1
65,16,2,2,1,1
66,12,0,4,1,1
67,10,0,4,1,0
68,11,0,2,1,0
70,11,2,4,1,0
71,10,0,4,1,0
72,11,2,2,1,0
74,11,4,2,1,1
75,11,0,2,1,1
76,11,0,4,1,1
77,13,1,4,1,0
78,10,0,1,1,1
80,12,0,1,1,1
82,11,4,2,1,0
83,13,2,2,1,1
84,12,2,2,1,1
85,12,4,2,1,0
87,15,4,3,1,1
90,11,2,3,1,0
93,14,2,2,1,1
94,12,2,4,1,1
95,13,4,4,1,1
98,13,4,1,1,1
99,13,2,3,1,0
101,16,0,3,1,1
102,12,2,1,1,1
104,16,0,2,1,1
106,10,4,4,1,0
107,14,4,3,1,1
109,14,2,3,1,1
110,14,4,1,1,1
111,11,4,3,1,1
114,10,4,2,1,1
119,14,2,1,1,0
120,14,0,2,1,0
122,13,2,2,1,1
123,13,4,1,1,1
124,11,0,2,1,0
126,11,0,2,1,1
129,13,4,3,1,0
130,12,0,3,1,0
134,12,2,1,1,0
139,15,4,3,1,1
142,12,2,1,1,1
145,10,4,1,1,1
151,13,0,3,1,1
152,11,4,1,1,1
153,13,2,3,1,1
154,11,4,1,1,0
156,12,0,2,1,0
157,10,0,1,1,1
158,11,2,2,1,0
162,11,0,1,1,0
165,13,2,3,1,1
173,10,0,1,1,0
180,11,0,2,1,0
181,18,0,2,1,0
182,13,0,2,1,0
183,17,0,2,1,0
184,10,4,1,1,1
185,18,0,2,1,1
186,10,0,2,1,1
187,13,0,2,1,1
188,15,0,2,1,1
189,11,0,2,1,1
190,14,0,2,1,1
191,10,4,2,1,1
193,13,4,2,1,1
194,11,4,2,1,1
195,13,0,2,1,1
200,11,0,1,1,1
201,16,0,2,1,1
205,12,0,2,1,1
207,10,0,1,1,1
208,12,0,1,1,0
210,14,4,1,1,0
213,11,0,2,1,0
214,15,2,2,1,1
220,12,2,2,1,0
221,15,4,2,1,1
223,12,0,3,1,1
224,12,4,4,1,1
226,13,0,2,1,0
229,15,2,2,1,0
233,13,0,3,1,1
234,11,0,2,1,1
236,14,0,2,1,0
238,16,4,3,1,1
240,17,2,2,1,1
241,11,0,2,1,0
242,11,2,2,1,1
243,16,0,3,1,1
244,12,0,2,1,1
245,13,0,2,1,1
246,13,0,2,1,1
247,14,0,2,1,1
249,12,0,3,1,1
250,16,0,2,1,1
251,10,4,1,1,0
252,13,0,2,1,1
260,11,4,1,1,0
265,15,4,3,1,1
268,12,0,2,1,0
270,15,4,1,1,1
271,12,2,2,1,0
272,15,2,3,1,0
278,13,2,1,1,0
281,11,0,1,1,0
283,10,4,2,1,0
286,13,0,1,1,0
287,10,0,1,1,1
288,13,2,2,1,0
289,17,2,4,1,1
290,11,0,2,1,0
291,11,4,2,1,1
292,14,2,3,1,1
295,14,4,2,1,0
296,16,2,2,1,1
298,12,2,4,1,1
300,15,2,2,1,0
301,11,2,2,1,0
304,13,0,3,1,1
307,14,0,2,1,1
309,14,4,2,1,1
320,13,2,2,1,1
322,10,0,2,1,0
323,10,0,1,1,1
328,13,0,2,1,1
331,12,0,2,1,0
332,18,0,3,1,0
333,14,0,3,1,0
334,15,0,3,1,1
335,17,0,2,1,1
336,16,2,2,1,1
337,18,0,3,1,0
339,15,0,3,1,1
340,15,0,1,1,0
341,13,2,2,1,1
342,14,0,2,1,0
343,17,0,4,1,0
344,17,0,1,1,0
345,15,0,2,1,0
346,13,0,1,1,0
348,16,0,3,1,0
349,18,0,4,1,1
350,11,0,3,1,1
354,15,2,2,1,1
355,14,2,2,1,1
356,17,2,1,1,1
357,17,2,3,1,1
359,17,2,3,1,1
362,13,0,2,1,0
363,14,4,1,1,1
364,17,2,1,1,1
366,13,0,2,1,0
367,14,2,2,1,1
368,11,2,1,1,0
371,10,2,1,1,1
373,10,0,3,1,1
374,17,0,3,1,0
375,15,0,3,1,0
376,14,0,3,1,1
377,13,0,3,1,1
378,17,0,1,1,1
379,10,2,1,1,0
380,13,0,3,1,1
381,15,4,3,1,0
382,11,2,1,1,1
383,12,0,4,1,1
386,15,0,3,1,0
389,12,0,2,1,1
392,15,0,2,1,0
393,15,4,4,1,0
394,16,0,2,1,0
395,13,0,2,1,1
398,14,0,3,1,0
399,17,4,3,1,0
400,17,4,3,1,0
401,14,0,3,1,0
402,13,0,3,1,1
404,16,4,2,1,1
407,12,0,3,1,1
410,17,0,2,1,1
411,15,2,3,1,0
412,17,0,2,1,1
415,11,5,1,1,0
417,17,5,3,1,0
421,10,5,1,1,0
422,13,4,2,1,1
424,12,0,2,1,1
426,11,4,1,1,0
430,11,0,3,1,0
433,14,0,1,1,0
435,10,0,2,1,0
438,12,2,1,1,0
439,16,0,1,1,0
442,14,0,2,1,1
446,11,0,2,1,1
450,15,2,2,1,0
452,11,4,2,1,0
457,11,4,1,1,1
458,13,0,4,1,0
460,11,1,2,1,1
461,14,0,1,1,1
467,14,1,2,1,1
470,12,4,2,1,0
473,10,4,1,1,1
474,11,2,1,1,1
480,10,0,1,1,0
483,11,1,2,1,0
485,11,0,2,1,0
486,10,1,1,1,1
489,10,0,1,1,1
490,10,4,1,1,0
495,13,0,1,1,1
496,14,2,1,1,1
498,14,0,2,1,1
503,14,0,4,1,1
504,13,0,3,1,0
505,11,0,1,1,1
511,10,1,2,1,0
516,16,0,2,1,1
517,15,0,1,1,1
521,10,0,2,1,1
525,16,0,3,1,0
526,14,1,1,1,0
531,10,0,2,1,0
533,16,0,2,1,0
534,12,0,1,1,0
542,12,1,3,1,0
546,16,0,2,1,0
547,11,0,1,1,0
548,11,2,2,1,1
549,18,0,2,1,0
550,13,0,2,1,0
551,13,0,2,1,0
552,10,2,2,1,1
554,10,3,1,1,1
555,13,5,3,1,0
557,10,2,2,1,1
560,10,0,1,1,1
564,10,2,1,1,0
578,10,4,2,1,0
580,10,4,1,1,0
584,11,0,1,1,0
589,10,0,1,1,0
591,14,2,2,1,1
592,13,0,1,1,0
593,14,0,2,1,0
594,18,0,2,1,1
595,17,3,1,1,1
596,18,0,2,1,0
599,14,5,1,1,1
601,10,4,2,1,0
602,13,0,3,1,0
606,18,0,4,1,0
607,12,5,2,1,1
611,15,5,3,1,0
612,11,4,2,1,1
614,12,2,2,1,1
616,14,2,1,1,0
617,18,0,3,1,0
620,15,4,2,1,1
623,16,0,3,1,0
625,10,0,1,1,0
627,10,3,1,1,1
630,17,0,3,1,0
631,12,4,3,1,0
633,14,1,2,1,1
634,16,1,2,1,0
636,19,4,2,1,1
638,16,4,2,1,1
642,11,0,2,1,0
643,10,4,1,1,1
644,10,4,3,1,1
645,16,4,2,1,0
648,11,4,1,1,0
